Date,unique_idfas,unique_ips,unique_uas,total_requests,requests_per_idfa,impressions,impressions_per_idfa,idfa_ip_ratio,idfa_ua_ratio,IVT,Date_parsed,app_id,status
2025-09-11 00:00:00,26051,26049,774,27023,1.03731142758435,0,0,1.00007677837921,33.6576227390181,0.2740602,2025-09-11,Invalid 2,Invalid
2025-09-12 00:00:00,162095,161975,1174,194185,1.19797032604337,0,0,1.00074085507023,138.07069846678,0.9950554167,2025-09-12,Invalid 2,Invalid
2025-09-13 00:00:00,146191,146082,1171,165609,1.1328262341731,0,0,1.0007461562684,124.842869342442,0.9972191667,2025-09-13,Invalid 2,Invalid
2025-09-14 00:00:00,150568,150428,1232,171836,1.14125179320971,0,0,1.00093067779935,122.214285714286,0.9991055833,2025-09-14,Invalid 2,Invalid
2025-09-15 00:00:00,28822,28819,834,30555,1.06012768024426,0,0,1.00010409799091,34.5587529976019,1.0,2025-09-15,Invalid 2,Invalid
2025-09-12 00:00:00,2516,2516,406,2532,1.00635930047695,0,0,1.0,6.19704433497537,1.0,2025-09-12,Invalid 2,Invalid
2025-09-13 00:00:00,10329,10328,631,10660,1.03204569658244,0,0,1.00009682416731,16.3692551505547,1.0,2025-09-13,Invalid 2,Invalid
2025-09-14 00:00:00,30254,30248,855,32497,1.07413895683215,0,0,1.00019836022216,35.3847953216374,0.988338,2025-09-14,Invalid 2,Invalid
2025-09-15 00:00:00,15306,15305,700,15915,1.03978831830655,0,0,1.0000653381248,21.8657142857143,1.0,2025-09-15,Invalid 2,Invalid
2025-09-11 00:00:00,92878,92548,210,126158,1.35831951592412,0,0,1.00356571724943,442.276190476191,0.005292,2025-09-11,Invalid 3,Invalid
2025-09-12 00:00:00,247402,245811,262,321354,1.29891431758838,0,0,1.00647245241263,944.282442748092,0.005279416667,2025-09-12,Invalid 3,Invalid
2025-09-13 00:00:00,223374,221963,252,280286,1.2547834573406,0,0,1.00635691534175,886.404761904762,0.7853147083,2025-09-13,Invalid 3,Invalid
2025-09-14 00:00:00,190510,189447,245,237432,1.24629678232114,0,0,1.00561106800319,777.591836734694,0.9975930833,2025-09-14,Invalid 3,Invalid
2025-09-15 00:00:00,21796,21785,182,23467,1.07666544320059,0,0,1.00050493458802,119.758241758242,1.0,2025-09-15,Invalid 3,Invalid
2025-09-12 00:00:00,10341,10333,111,11235,1.08645198723528,0,0,1.00077421852318,93.1621621621622,0.0125,2025-09-12,Invalid 3,Invalid
2025-09-13 00:00:00,9445,9445,159,9727,1.02985706723134,0,0,1.0,59.4025157232704,0.0,2025-09-13,Invalid 3,Invalid
2025-09-14 00:00:00,27020,27015,199,29406,1.08830495928942,0,0,1.00018508236165,135.778894472362,0.982993,2025-09-14,Invalid 3,Invalid
2025-09-15 00:00:00,11223,11219,163,11862,1.05693664795509,0,0,1.00035653801587,68.8527607361963,1.0,2025-09-15,Invalid 3,Invalid
